total_visit,monthly_visit,t_m,monthly_u visit,mu_m,desktop_rate,visit_duration,bounce rate,top_country_1,top_country_2,top_country_3,direct,ref,soc,org,dis_ad,ad
5700000,5700000,1,4500000,79,17.9,51,72.9,14.6,8.9,8.8,37,18.9,18.4,25.3,0,1
73971,73971,1,63686,86,14.9,4,87.7,46.9,12.3,12.2,37,54.1,2.9,5.6,0,1
477075,477075,1,346174,73,14.9,49,79.8,13.6,12.8,6.7,36.2,50.2,5.5,7.9,0,1
121762,121762,1,100351,82,21.7,9,73.5,16.6,13.4,11.4,35,51.8,9.1,3.9,0,1
95187,95187,1,80951,85,30.4,19,69,32.5,14.4,12.5,31.4,54.6,3,10.9,0,1
519784,519794,1,348398,67,66,30,43.4,41.5,40.3,17.8,64.7,12.3,2.9,7.8,12,1
6342000,6342000,1,3335000,53,35.9,82,34.5,13.2,12.8,9.2,36.2,53.1,4.9,4.4,0.7,1
32280000,16140000,2,10610000,66,23.3,39,43.8,16.2,15.4,4.1,61.8,16.8,6,13.6,1.5,1
784475,261492,3,221173,85,62.2,51,61.7,82.4,5.3,4,82.9,7,0.9,8.8,0,1
241872,80624,3,66158,82,96,28,79.6,89.7,2.7,1.5,97,1.4,0.03,1.2,0,1
95187,95187,1,80951,85,30.4,19,69,32.5,14.4,12.5,31.4,54.6,3,10.9,0,1
3159000,1053000,3,399956,38,58.7,196,54,46.2,6.6,6.3,41.5,46.3,0.3,11.3,0,1
24290000,8098000,3,2563000,32,75.7,232,29.8,24,14.9,5.7,47.3,12.8,1.4,38.2,0,1
3417000,1139000,3,401708,35,61.7,125,58.1,45.5,6.9,4.8,49.3,45.7,0.4,4.1,0.24,1
1596000,798237,2,510308,64,100,44,74.7,62.5,12.3,6.7,8.6,74.3,1.1,5,10.6,1
255840,255840,1,174606,68,35.7,37,62.8,23,21.7,10.6,19.9,36.8,3.4,37.9,1.8,1
4036000,1345000,3,835209,62,100,55,80.7,39,18.4,8.3,96.9,0.5,0,0,2.5,1
28130000,28130000,1,17340000,62,30.9,129,58.9,24.9,6.9,5.2,56.2,17.9,7.2,12.1,6.4,1
82040000,27340000,3,17380000,64,1,83,50.4,40.3,9.6,2.6,29.4,65.3,2.5,1.5,1.1,1
213664,106832,2,65216,61,10.5,52,73.3,22.5,20.4,19.4,71.8,4.88,3.9,19.3,0,1
13950000,13950000,1,4918000,35,55.8,301,52.3,22.4,4.6,4.1,13,8,6.6,15.5,56.6,1
